"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","stadium","weather_temperature","weather_wind_mph","weather_humidity","weather_detail"
"3708","19841104MIANYJ",1984,"10",1984-11-04,"NYJ","Giants Stadium",49,13,67,""
"3709","19841104NEDEN",1984,"10",1984-11-04,"DEN","Mile High Stadium",47,21,29,""
"3710","19841104NYGDAL",1984,"10",1984-11-04,"DAL","Texas Stadium",61,15,78,""
"3711","19841104PHIDET",1984,"10",1984-11-04,"DET","Pontiac Silverdome",72,0,NA,"indoor"
"3712","19841104TBMIN",1984,"10",1984-11-04,"MIN","Hubert H. Humphrey Metrodome",72,0,NA,"indoor"
"3713","19841104TENPIT",1984,"10",1984-11-04,"PIT","Three Rivers Stadium",47,9,64,""
"3714","19841105ATLWAS",1984,"10",1984-11-05,"WAS","RFK Memorial Stadium",60,10,81,""
"3715","19841111BUFNE",1984,"11",1984-11-11,"NE","Foxboro Stadium",60,12,81,""
"3716","19841111CHILAR",1984,"11",1984-11-11,"LAR","Anaheim Stadium",61,9,51,""
"3717","19841111DALARI",1984,"11",1984-11-11,"ARI","Busch Memorial Stadium",36,19,84,""
"3718","19841111DENLAC",1984,"11",1984-11-11,"LAC","Qualcomm Stadium",64,9,69,""
"3719","19841111DETWAS",1984,"11",1984-11-11,"WAS","RFK Memorial Stadium",57,13,73,""
"3720","19841111INDNYJ",1984,"11",1984-11-11,"NYJ","Giants Stadium",58,13,90,""
"3721","19841111MINGB",1984,"11",1984-11-11,"GB","Lambeau Field",34,22,69,""
"3722","19841111NOATL",1984,"11",1984-11-11,"ATL","Atlanta-Fulton County Stadium",48,14,72,""
"3723","19841111NYGTB",1984,"11",1984-11-11,"TB","Houlihan's Stadium",67,10,73,""
"3724","19841111PHIMIA",1984,"11",1984-11-11,"MIA","Orange Bowl",72,10,74,""
"3725","19841111PITCIN",1984,"11",1984-11-11,"CIN","Cinergy Field",43,17,84,""
"3726","19841111SFCLE",1984,"11",1984-11-11,"CLE","Cleveland Municipal Stadium",45,15,81,""
"3727","19841111TENKC",1984,"11",1984-11-11,"KC","Arrowhead Stadium",33,11,69,""
"3728","19841112LVRSEA",1984,"11",1984-11-12,"SEA","Seattle Kingdome",72,0,NA,"indoor"
"3729","19841118ARINYG",1984,"12",1984-11-18,"NYG","Giants Stadium",42,14,49,""
"3730","19841118CLEATL",1984,"12",1984-11-18,"ATL","Atlanta-Fulton County Stadium",55,12,50,""
"3731","19841118DALBUF",1984,"12",1984-11-18,"BUF","Ralph Wilson Stadium",38,17,70,""
"3732","19841118DETCHI",1984,"12",1984-11-18,"CHI","Soldier Field",36,11,71,""
"3733","19841118KCLVR",1984,"12",1984-11-18,"LVR","Los Angeles Memorial Coliseum",58,9,73,""
"3734","19841118LARGB",1984,"12",1984-11-18,"GB","Lambeau Field",34,13,72,""
"3735","19841118MIALAC",1984,"12",1984-11-18,"LAC","Qualcomm Stadium",61,8,83,""
"3736","19841118MINDEN",1984,"12",1984-11-18,"DEN","Mile High Stadium",32,7,53,""
"3737","19841118NEIND",1984,"12",1984-11-18,"IND","RCA Dome",72,0,NA,"indoor"
"3738","19841118NYJTEN",1984,"12",1984-11-18,"TEN","Houston Astrodome",72,0,NA,"indoor"
"3739","19841118SEACIN",1984,"12",1984-11-18,"CIN","Cinergy Field",36,8,71,""
"3740","19841118TBSF",1984,"12",1984-11-18,"SF","Candlestick Park",56,14,83,""
"3741","19841118WASPHI",1984,"12",1984-11-18,"PHI","Veterans Stadium",40,9,57,""
"3742","19841119PITNO",1984,"12",1984-11-19,"NO","Louisiana Superdome",72,0,NA,"indoor"
"3743","19841122GBDET",1984,"13",1984-11-22,"DET","Pontiac Silverdome",72,0,NA,"indoor"
"3744","19841122NEDAL",1984,"13",1984-11-22,"DAL","Texas Stadium",41,5,68,""
"3745","19841125ATLCIN",1984,"13",1984-11-25,"CIN","Cinergy Field",40,6,56,""
"3746","19841125BUFWAS",1984,"13",1984-11-25,"WAS","RFK Memorial Stadium",42,6,66,""
"3747","19841125CHIMIN",1984,"13",1984-11-25,"MIN","Hubert H. Humphrey Metrodome",72,0,NA,"indoor"
"3748","19841125INDLVR",1984,"13",1984-11-25,"LVR","Los Angeles Memorial Coliseum",54,13,59,""
"3749","19841125KCNYG",1984,"13",1984-11-25,"NYG","Giants Stadium",45,8,57,""
"3750","19841125LACPIT",1984,"13",1984-11-25,"PIT","Three Rivers Stadium",39,3,65,""
"3751","19841125LARTB",1984,"13",1984-11-25,"TB","Houlihan's Stadium",65,8,74,""
"3752","19841125PHIARI",1984,"13",1984-11-25,"ARI","Busch Memorial Stadium",47,12,57,""
"3753","19841125SEADEN",1984,"13",1984-11-25,"DEN","Mile High Stadium",37,7,56,""
"3754","19841125SFNO",1984,"13",1984-11-25,"NO","Louisiana Superdome",72,0,NA,"indoor"
"3755","19841125TENCLE",1984,"13",1984-11-25,"CLE","Cleveland Municipal Stadium",39,9,63,""
"3756","19841126NYJMIA",1984,"13",1984-11-26,"MIA","Orange Bowl",73,15,61,""
"3757","19841129WASMIN",1984,"14",1984-11-29,"MIN","Hubert H. Humphrey Metrodome",72,0,NA,"indoor"
"3758","19841202ARINE",1984,"14",1984-12-02,"NE","Foxboro Stadium",43,14,46,""
"3759","19841202CINCLE",1984,"14",1984-12-02,"CLE","Cleveland Municipal Stadium",35,9,71,""
"3760","19841202DALPHI",1984,"14",1984-12-02,"PHI","Veterans Stadium",40,7,61,""
"3761","19841202DENKC",1984,"14",1984-12-02,"KC","Arrowhead Stadium",37,15,66,""
"3762","19841202DETSEA",1984,"14",1984-12-02,"SEA","Seattle Kingdome",72,0,NA,"indoor"
"3763","19841202INDBUF",1984,"14",1984-12-02,"BUF","Ralph Wilson Stadium",35,14,62,""
"3764","19841202LVRMIA",1984,"14",1984-12-02,"MIA","Orange Bowl",74,9,83,""
"3765","19841202NOLAR",1984,"14",1984-12-02,"LAR","Anaheim Stadium",56,7,71,""
"3766","19841202NYGNYJ",1984,"14",1984-12-02,"NYJ","Giants Stadium",45,14,56,""
"3767","19841202PITTEN",1984,"14",1984-12-02,"TEN","Houston Astrodome",72,0,NA,"indoor"
"3768","19841202SFATL",1984,"14",1984-12-02,"ATL","Atlanta-Fulton County Stadium",46,9,74,""
"3769","19841202TBGB",1984,"14",1984-12-02,"GB","Lambeau Field",27,12,89,""
"3770","19841203CHILAC",1984,"14",1984-12-03,"LAC","Qualcomm Stadium",59,10,89,""
"3771","19841208BUFNYJ",1984,"15",1984-12-08,"NYJ","Giants Stadium",32,18,50,""
"3772","19841208MINSF",1984,"15",1984-12-08,"SF","Candlestick Park",53,6,79,""
"3773","19841209ATLTB",1984,"15",1984-12-09,"TB","Houlihan's Stadium",50,6,69,""
"3774","19841209CINNO",1984,"15",1984-12-09,"NO","Louisiana Superdome",72,0,NA,"indoor"
"3775","19841209CLEPIT",1984,"15",1984-12-09,"PIT","Three Rivers Stadium",31,6,79,""
"3776","19841209GBCHI",1984,"15",1984-12-09,"CHI","Soldier Field",31,7,87,""
"3777","19841209LACDEN",1984,"15",1984-12-09,"DEN","Mile High Stadium",48,11,37,""
