"","schedule_week","schedule_date","team_home_id","team_away_id","team_winner_predicted","team_winner_ats","team_home_win_prob","team_away_win_prob","over_under_pick","score_total_predicted"
"234","7",1967-10-15,"NYJ","TEN","NYJ (87%)",NA,0.866534450002554,0.133465549997446,NA,40.7
"235","5",1967-10-15,"ATL","WAS","WAS (70%)",NA,0.29671725495332,0.70328274504668,NA,47.1
"236","6",1967-10-22,"DET","ATL","DET (62%)",NA,0.615410631836756,0.384589368163244,NA,47
"237","6",1967-10-22,"CLE","CHI","CLE (74%)",NA,0.744605393555796,0.255394606444204,NA,48.1
"238","6",1967-10-22,"PIT","DAL","DAL (84%)",NA,0.161099403081291,0.838900596918709,NA,46.6
"239","6",1967-10-22,"NYG","GB","GB (84%)",NA,0.161099403081291,0.838900596918709,NA,44.6
"240","6",1967-10-22,"MIN","IND","IND (86%)",NA,0.135763890977501,0.864236109022499,"Under (NA)",44.5
"241","8",1967-10-22,"DEN","LAC","LAC (88%)",NA,0.122376078590245,0.877623921409755,NA,48.2
"242","8",1967-10-22,"NE","LVR","LVR (61%)",NA,0.391361731887408,0.608638268112592,"Under (NA)",48.9
"243","6",1967-10-22,"SF","NO","SF (93%)",NA,0.925916078457665,0.0740839215423353,NA,45.5
"244","8",1967-10-22,"MIA","NYJ","NYJ (78%)",NA,0.22358551535046,0.77641448464954,NA,41.2
"245","6",1967-10-22,"ARI","PHI","PHI (63%)",NA,0.369816198874308,0.630183801125692,NA,46.6
